titles,type,genres,average_rating,release_year,weekly_hours_viewed
a dogs journey,Movie,"Adventure, Comedy, Drama",7.4,2019,5350000
togo,Movie,"Adventure, Biography, Drama",7.9,2019,6790000
demon slayer kimetsu no yaiba,TV Show,"Action, Adventure, Animation",8.6,2019,7100000
hanna,TV Show,"Action, Drama",7.6,2019,7120000
knives out,Movie,"Comedy, Crime, Drama",7.9,2019,7470000
how to sell drugs online (fast),TV Show,"Comedy, Crime, Drama",7.8,2019,8580000
little women,Movie,"Drama, Romance",7.8,2019,8590000
john wick chapter 3 - parabellum,Movie,"Action, Crime, Thriller",7.4,2019,8790000
how to train your dragon the hidden world,Movie,"Action, Adventure, Animation",7.4,2019,9030000
our planet,TV Show,Documentary,9.2,2019,9900000
hotel del luna,TV Show,"Action, Comedy, Drama",8.1,2019,9980000
1917,Movie,"Action, Drama, War",8.2,2019,10840000
spider-man far from home,Movie,"Action, Adventure, Comedy",7.4,2019,11320000
raising dion,TV Show,"Drama, Sci-Fi",7.1,2019,11760000
dead to me,TV Show,"Comedy, Crime, Drama",7.9,2019,11900000
sex education,TV Show,"Comedy, Drama, Romance",8.2,2019,13800000
the witcher,TV Show,"Action, Adventure, Drama",8.0,2019,14700000
"love, death & robots",TV Show,"Action, Adventure, Animation",8.4,2019,15390000
the umbrella academy,TV Show,"Action, Adventure, Comedy",7.8,2019,18250000
virgin river,TV Show,"Drama, Romance",7.4,2019,20300000
formula 1 drive to survive,TV Show,"Documentary, Sport",8.5,2019,26230000
violet evergarden the movie,Movie,"Animation, Drama, Fantasy",8.3,2020,1800000
the forgotten battle,Movie,"Action, Adventure, War",7.1,2020,1940000
jujutsu kaisen,TV Show,"Action, Adventure, Animation",8.5,2020,2600000
riders of justice,Movie,"Action, Comedy, Drama",7.5,2020,3710000
the father,Movie,"Drama, Mystery",8.2,2020,5070000
ragnarok,TV Show,"Action, Drama, Fantasy",7.3,2020,5100000
a quiet place part ii,Movie,"Drama, Horror, Sci-Fi",7.2,2020,5750000
mr. queen,TV Show,"Comedy, Fantasy, Romance",8.6,2020,7620000
the call,Movie,"Crime, Mystery, Sci-Fi",7.1,2020,7710000
barbarians,TV Show,"Action, Adventure, Drama",7.2,2020,9390000
love is in the air,TV Show,"Comedy, Romance",7.3,2020,10700000
outer banks,TV Show,"Action, Crime, Drama",7.5,2020,11310000
bridgerton,TV Show,"Drama, Romance",7.4,2020,12540000
love 101,TV Show,"Comedy, Drama, Romance",7.4,2020,12600000
unsolved mysteries,TV Show,"Crime, Documentary, Mystery",7.3,2020,14060000
never have i ever,TV Show,"Comedy, Drama",7.8,2020,14200000
locke & key,TV Show,"Drama, Fantasy, Horror",7.3,2020,14630000
the uncanny counter,TV Show,"Action, Fantasy, Horror",8.0,2020,15200000
alice in borderland,TV Show,"Drama, Horror, Mystery",7.7,2020,15680000
sweet magnolias,TV Show,"Drama, Romance",7.3,2020,16200000
tiger king,TV Show,"Biography, Crime, Documentary",7.5,2020,16430000
jurassic world camp cretaceous,TV Show,"Action, Adventure, Animation",7.5,2020,17420000
sweet home,TV Show,"Drama, Fantasy, Horror",7.2,2020,37100000
true beauty,TV Show,"Comedy, Drama, Romance",8.0,2020,63500000
mimi,Movie,"Comedy, Drama",7.8,2021,1510000
minnal murali,Movie,"Action, Comedy, Drama",7.8,2021,2510000
shyam singha roy,Movie,"Drama, Romance",7.6,2021,2880000
83,Movie,"Biography, Drama, History",7.5,2021,3120000
sing 2,Movie,"Adventure, Animation, Comedy",7.3,2021,4500000
parallel mothers,Movie,Drama,7.1,2021,4820000
the mitchells vs. the machines,Movie,"Adventure, Animation, Comedy",7.6,2021,4890000
wish dragon,Movie,"Adventure, Animation, Comedy",7.2,2021,5150000
dont look up,Movie,"Comedy, Drama, Sci-Fi",7.2,2021,5360000
